
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   2212 Services                   0      1,988 K
svchost.exe                   6548 Services                   0      1,192 K
GoogleCrashHandler.exe       20388 Services                   0      1,180 K
GoogleCrashHandler64.exe     17716 Services                   0        184 K
vmnat.exe                      112 Services                   0      2,904 K
vmnetdhcp.exe                22660 Services                   0      1,688 K
svchost.exe                  12960 Services                   0      3,736 K
vmware-usbarbitrator64.ex     8188 Services                   0      4,212 K
vmware-authd.exe              9700 Services                   0      3,960 K
servicehost.exe               9568 Services                   0     27,596 K
svchost.exe                  11024 Services                   0      3,436 K
svchost.exe                  17852 Services                   0      2,652 K
WmiPrvSE.exe                 19680 Services                   0     23,300 K
SysInfoCap.exe               24680 Services                   0     12,300 K
AppHelperCap.exe              3288 Services                   0     12,112 K
NetworkCap.exe               19428 Services                   0     16,120 K
DiagsCap.exe                 16432 Services                   0     14,656 K
mysqld.exe                    6724 Services                   0      4,264 K
mysqld.exe                   20372 Services                   0     15,584 K
conhost.exe                  10112 Services                   0      2,572 K
svchost.exe                  24028 Services                   0      6,600 K
svchost.exe                   1188 Services                   0      9,344 K
svchost.exe                  15392 Services                   0      8,404 K
svchost.exe                  11564 Services                   0      8,216 K
WUDFHost.exe                  2092 Services                   0      8,644 K
svchost.exe                  10924 Services                   0      7,012 K
csrss.exe                     5880 Console                   38      7,256 K
winlogon.exe                  1032 Console                   38     10,316 K
fontdrvhost.exe              15652 Console                   38      6,804 K
dwm.exe                      19148 Console                   38    104,988 K
svchost.exe                  24512 Services                   0      5,512 K
dptf_helper.exe              19692 Console                   38      5,552 K
sihost.exe                    2252 Console                   38     27,792 K
svchost.exe                  23820 Console                   38      8,672 K
svchost.exe                  14868 Console                   38      8,912 K
svchost.exe                  20888 Console                   38     27,184 K
svchost.exe                  21240 Console                   38      7,280 K
igfxEM.exe                   24120 Console                   38     17,880 K
svchost.exe                  12100 Console                   38     25,488 K
taskhostw.exe                13268 Console                   38     18,660 K
HPJumpStartLaunch.exe        22404 Console                   38      3,384 K
taskhostw.exe                16740 Console                   38      3,972 K
explorer.exe                 13528 Console                   38    109,920 K
svchost.exe                  11324 Console                   38     17,096 K
SearchHost.exe               17688 Console                   38     28,760 K
StartMenuExperienceHost.e    21128 Console                   38     23,592 K
Widgets.exe                   7020 Console                   38     31,768 K
RuntimeBroker.exe             4736 Console                   38     13,252 K
uihost.exe                     856 Console                   38     22,744 K
RuntimeBroker.exe            22148 Console                   38     31,920 K
svchost.exe                  21188 Console                   38     12,672 K
dllhost.exe                   8008 Console                   38     15,148 K
SynTPEnh.exe                 16932 Console                   38     19,564 K
